year,question_text,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation
r03年度 問9,これは r03年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r03年度 問10,これは r03年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問1,これは r02年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問2,これは r02年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問3,これは r02年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問4,これは r02年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問5,これは r02年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問6,これは r02年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問7,これは r02年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問8,これは r02年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問9,これは r02年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r02年度 問10,これは r02年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問1,これは r01年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問2,これは r01年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問3,これは r01年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問4,これは r01年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問5,これは r01年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問6,これは r01年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問7,これは r01年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問8,これは r01年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問9,これは r01年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
r01年度 問10,これは r01年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問1,これは h31年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問2,これは h31年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問3,これは h31年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問4,これは h31年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問5,これは h31年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問6,これは h31年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問7,これは h31年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問8,これは h31年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問9,これは h31年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h31年度 問10,これは h31年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問1,これは h30年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問2,これは h30年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問3,これは h30年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問4,これは h30年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問5,これは h30年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問6,これは h30年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問7,これは h30年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問8,これは h30年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問9,これは h30年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h30年度 問10,これは h30年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問1,これは h29年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問2,これは h29年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問3,これは h29年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問4,これは h29年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問5,これは h29年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問6,これは h29年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問7,これは h29年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問8,これは h29年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問9,これは h29年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h29年度 問10,これは h29年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問1,これは h28年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問2,これは h28年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問3,これは h28年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問4,これは h28年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問5,これは h28年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問6,これは h28年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問7,これは h28年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問8,これは h28年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問9,これは h28年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h28年度 問10,これは h28年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問1,これは h27年度 問1 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問2,これは h27年度 問2 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問3,これは h27年度 問3 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問4,これは h27年度 問4 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問5,これは h27年度 問5 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問6,これは h27年度 問6 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問7,これは h27年度 問7 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問8,これは h27年度 問8 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問9,これは h27年度 問9 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
h27年度 問10,これは h27年度 問10 の問題文です（自動取得データ）,選択肢ア,選択肢イ,選択肢ウ,選択肢エ,ア,ここに解説が入ります。
